"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZAP3",0.00573295525265558,0.12657257189987,0.352,0.285,1
"CG9743",0.00573599401833174,0.335891616364671,0.103,0.071,1
"CG7059",0.00577878230812541,0.232224473921341,0.132,0.096,1
"CG34330",0.00581701494651343,-0.8485015835447,0.024,0.044,1
"CG33635",0.00582282025680592,0.274021402644365,0.078,0.051,1
"slx1",0.00583249514206608,1.02326709555418,0.026,0.011,1
"snz",0.00586828842371127,0.376964846962678,0.111,0.078,1
"FeCH",0.00587457674598951,0.538223599338288,0.089,0.06,1
"wek",0.00589771123210128,0.246814709818479,0.095,0.065,1
"hang",0.00590853196529571,0.12077083723905,0.599,0.5,1
"mip130",0.00591735833290071,0.198409253093145,0.197,0.152,1
"CG17568",0.00595949941661085,0.39719816512847,0.067,0.042,1
"DCP2",0.0059988548599084,0.104389494547734,0.761,0.674,1
"CG8545",0.00601054280930035,0.161341286320426,0.221,0.17,1
"CG7394",0.00603591616468729,0.137574689542589,0.197,0.15,1
"Adar",0.00603992634436444,0.119590453532457,0.249,0.194,1
"tamo",0.00604318731895718,0.275915575693049,0.107,0.075,1
"Tsp29Fb",0.00606355032351243,-3.22547715808773,0.009,0.023,1
"CG16896",0.0060867026501969,0.681865465554777,0.059,0.036,1
"PIG-K",0.00614592865396639,0.173383495490759,0.175,0.133,1
"Ran",0.00614619854844882,0.128548025133762,0.685,0.604,1
"Opbp",0.00614676926341224,0.502012557999384,0.057,0.034,1
"KLHL18",0.00614800652077395,0.285006816913155,0.094,0.063,1
"CAP",0.00618881897280227,0.138881419553188,0.466,0.391,1
"AOX1",0.0061929740742911,0.909527830937752,0.023,0.009,1
"CG34293",0.00620177915166536,0.110391009746396,0.074,0.048,1
"CG5114",0.00622975906902264,0.335349298147432,0.065,0.041,1
"CG30485",0.00625816458546395,0.714000621225711,0.023,0.009,1
"CG8611",0.00629682865119834,-0.185642210040103,0.138,0.099,1
"AGO1",0.00637204714161221,0.109325198816433,0.88,0.805,1
"Art7",0.00637616692542557,0.664457171396823,0.042,0.023,1
"foi",0.00639350375069356,0.123859249614526,0.336,0.271,1
"CG14253",0.00639661370684759,0.128086867245858,0.362,0.297,1
"CG13992",0.00641005303335452,-3.14653336566981,0.009,0.023,1
"Tep2",0.00643957913749848,0.324901856931748,0.12,0.086,1
"IKKepsilon",0.00644911372748841,0.572283163322097,0.085,0.058,1
"CG2906",0.00647085369142963,0.881636295114558,0.044,0.024,1
"CG8229",0.00647915468153199,0.342797042198141,0.072,0.046,1
"Hs2st",0.00654532962659828,0.57715410742575,0.052,0.031,1
"CG10904",0.00655979159643547,0.277187846076985,0.091,0.062,1
"CG12007",0.00656567239381782,0.151627997725741,0.107,0.074,1
"Not1",0.00658899265273378,-0.128418656978796,0.865,0.837,1
"Vps35",0.00660115063498451,0.172014081215734,0.131,0.096,1
"CG12535",0.00660862936323077,0.601243036817163,0.08,0.053,1
"CG17732",0.00660963322445033,0.161186808421812,0.149,0.11,1
"pyd3",0.00662736682325452,0.105013318897596,0.202,0.155,1
"Fdx2",0.00666205055151093,0.166528996392928,0.155,0.116,1
"mod",0.00666395447032934,0.128547517584866,0.55,0.487,1
"mthl10",0.00667582888649954,0.180847699315778,0.069,0.044,1
