Gene,avg_log2FC,p_val_adj
CG13117,0.67396192992771,1.6708158555754099e-18
CG15673,0.595479591011952,3.5304133687356004e-18
drm,-1.54328445658255,8.63595156872334e-18
IFT54,1.40553941552296,8.88796224718468e-18
CG5767,2.55004127231809,2.15152467980962e-17
CG43051,-1.10025465176527,2.44239408712879e-17
CG13299,0.897436484489603,3.62199187949224e-17
CG43349,-0.870319681202342,5.6454681280587e-17
Nep2,0.566707046841148,5.9883662588566e-17
tx,0.575207156433538,7.409832968224581e-17
IM33,-1.29160119651959,7.727436692283321e-17
Kal1,0.629361632462658,1.004990694608e-16
CG30484,1.01270298633561,2.44728194455456e-16
CG7443,1.77778911974659,9.22442087961666e-16
grn,1.09073308358668,1.5727712030025601e-15
CG12177,0.585358574427444,4.01655006568676e-15
Vml,-2.66219251465805,1.8926635300591902e-14
yellow-g,-5.41666764440983,2.2205796828341602e-14
upd3,0.585805218788988,2.8322585970113602e-14
pirk,1.09251555741809,2.98715883675384e-14
CG5326,-1.00309459851744,3.89999760433923e-14
CG3168,-0.703189309493189,7.633582620390371e-14
Tmc,0.639608681236986,1.25608277378655e-13
CG12880,0.659056698736015,2.65800289620109e-13
fkh,-0.89826297837748,2.73915513218219e-13
CG5255,3.41834920242779,2.83397987915034e-13
CG12398,-2.8039459908096,4.18514427378678e-13
Rchy1,0.602939151656349,4.30527434387922e-13
CG13704,-0.961418308656891,4.5376276677925e-13
CG14401,0.613758440164204,5.88509286041762e-13
side-VIII,0.501606892431444,6.1533627020975e-13
CG34198,-0.99375212828337,7.7954416936504e-13
Fst,-2.51269756836231,1.12064649109693e-12
Mur29B,-1.15562423485777,1.20817838885005e-12
CG11878,-1.02466852186229,1.2658613219568199e-12
CG3987,-1.45933453878267,1.42594381411223e-12
CG13309,-1.87515966757541,1.5014139582980199e-12
fan,0.900353788860897,2.58194995940179e-12
CG5011,-0.679201055908901,3.85956040100356e-12
Tsp29Fa,-1.01555901246654,5.1587439497076096e-12
CG18628,1.38148489285762,1.8188725661091497e-11
CG12963,-1.39544733049673,2.2372397387835198e-11
CG13315,-0.898060667274936,2.70498453372287e-11
Mtk,-3.15139809445678,2.8068884453336097e-11
fon,1.87418198021562,3.3460574911335094e-11
CG14245,-1.234023452862,4.9311106540232396e-11
Ag5r,-0.637100491466442,7.136650335168959e-11
CG34330,-0.792386447358812,8.692451000886709e-11
CG10911,-2.76030268398917,1.3577172296596501e-10
CG44014,-1.81809889113394,1.36933742502918e-10
CG34176,-1.98113112458473,1.55981755018357e-10
CG4781,-0.942691206060731,1.73761966674077e-10
CG13116,1.61377423414199,3.05206453349328e-10
CG31198,-2.04296408939961,3.59688646666094e-10
CG13323,-1.13133629800387,6.08184647403426e-10
yellow-f,0.866711979767255,7.46632412953439e-10
CG43134,0.513335403945486,8.01126259676108e-10
CG44836,0.533263206841861,9.73319514844148e-10
CG42714,-1.55531365069019,9.87770863193147e-10
CG15126,-1.37983779170224,9.99305615495174e-10
CG45067,0.770493435976239,1.1355598936427602e-9
CG42324,-1.52609836651217,1.1448950387914501e-9
Ilp8,1.30843049060207,1.2378761249445901e-9
Uro,-2.42490941122733,1.46274057627347e-9
Itgbn,0.633542520942914,1.92150639666664e-9
CG5096,-1.08087502426348,2.29879943047419e-9
Decay,-1.00199492547966,2.3324659455954604e-9
CG9121,0.61832057820265,2.56498854228208e-9
CG5506,-2.49982162242981,2.6806420119718902e-9
Prm,0.534302441224086,3.0336273478131e-9
Kif3C,0.570924834777623,3.4096582127205405e-9
CG43348,-1.40258059903017,3.5973577043989905e-9
Sp7,0.839733887490651,3.61694425493458e-9
Tdc2,0.93875955153613,4.5550235970811205e-9
Oatp33Eb,-1.45438379679254,5.971105626532481e-9
CG13998,-2.35566459044054,1.12495623592747e-8
CG4783,-0.925237970764161,1.46282092041718e-8
CG4269,0.81774777151151,1.51855699988498e-8
CG31659,0.896309525798014,2.00045242934407e-8
