"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CG32485",9.17250135778285e-50,0.361989234013724,0.202,0.122,1.08666623585653e-45
"gbb",1.10083737943918e-49,0.284732139623623,0.425,0.314,1.30416204342159e-45
"RpL37A",1.37579518485683e-49,0.148556242169915,0.986,0.976,1.62990455549989e-45
"Arpc1",1.4788958378025e-49,0.238563083666325,0.575,0.453,1.75204789904462e-45
"GEFmeso",1.5446236996316e-49,0.233581740142063,0.716,0.599,1.82991569695356e-45
"kra",1.74923538230036e-49,0.223484548349647,0.838,0.768,2.07231915741124e-45
"edl",3.03275153694873e-49,0.296959751672241,0.592,0.481,3.59290074582316e-45
"spz",3.14736380769584e-49,0.359745123320979,0.428,0.324,3.72868190297726e-45
"Dlc90F",4.46777253765875e-49,0.239914556200308,0.613,0.501,5.29297012536433e-45
"CG13516",4.79795096872862e-49,0.268150293106724,0.172,0.099,5.6841325126528e-45
"prominin-like",5.69338677669715e-49,0.16543727771054,0.381,0.271,6.74495531435312e-45
"RpS24",6.64543021492987e-49,0.159697025030555,0.979,0.964,7.87284117562742e-45
"Rpt1",7.76269843108336e-49,0.255449303090062,0.546,0.424,9.19646883130446e-45
"Spn55B",2.15588449901257e-48,0.393578998918839,0.305,0.21,2.55407636598019e-44
"pot",2.27928058508213e-48,0.488553483475337,0.309,0.216,2.7002637091468e-44
"blow",2.43315086590149e-48,0.251050165907879,0.341,0.238,2.88255383083349e-44
"CG17544",2.80776067817996e-48,0.414228955831852,0.254,0.166,3.3263540754398e-44
"CNBP",2.8115385930277e-48,0.197440982086035,0.931,0.893,3.33082977115992e-44
"Srp54",2.95077742283587e-48,0.355539645790907,0.375,0.273,3.49578601283365e-44
"RpS17",3.82334404393068e-48,0.161672119762095,0.965,0.944,4.52951568884468e-44
"bdl",4.66694825240369e-48,0.396135917332481,0.327,0.229,5.52893359462265e-44
"Ubqn",1.16212147100956e-47,0.247170273102503,0.44,0.329,1.37676530670502e-43
"Rab11",1.21250382894634e-47,0.251519327402918,0.741,0.643,1.43645328615273e-43
"Cht7",1.59760568854422e-47,1.29455767012941,0.1,0.048,1.89268345921834e-43
"Abl",1.84396087057329e-47,0.277933018046437,0.665,0.546,2.18454044336817e-43
"RhoGAP92B",2.23091915022234e-47,0.218037635052979,0.223,0.14,2.64296991726841e-43
"kek1",2.719643287459e-47,0.261008029447795,0.742,0.655,3.22196140265267e-43
"CG5104",5.38731685904248e-47,0.539948180629999,0.213,0.135,6.38235428290763e-43
"siz",5.75989719799964e-47,0.337566529175758,0.657,0.543,6.82375021047017e-43
"CG13895",5.77131359500442e-47,0.624901185452016,0.127,0.067,6.83727521600174e-43
"CG8209",5.82302572673347e-47,0.270480559520378,0.549,0.438,6.89853857846114e-43
"Rack1",7.24009609456178e-47,0.181902887944404,0.941,0.916,8.57734184322734e-43
"CG10103",7.35839595534692e-47,0.260058888659867,0.449,0.338,8.71749168829949e-43
"Gdi",9.2170664567263e-47,0.24818896170869,0.691,0.577,1.09194586312837e-42
"uzip",9.9826116163391e-47,0.222188186187241,0.322,0.222,1.18263999818769e-42
"cindr",1.15853469206146e-46,0.276706592068226,0.649,0.534,1.37251604968521e-42
"CG12290",1.87225097248651e-46,0.217147445268935,0.491,0.375,2.21805572710477e-42
"Vps2",2.46016065003349e-46,0.25377597319142,0.477,0.365,2.91455232209467e-42
"TfIIA-S",2.74909608330961e-46,0.235051184228252,0.594,0.481,3.2568541298969e-42
"sta",2.84001040419264e-46,0.162420255921643,0.98,0.969,3.36456032584702e-42
"dlp",4.60765629423262e-46,0.349869204445637,0.528,0.423,5.45869041177739e-42
"nrv2",4.90029407649128e-46,0.319468202981668,0.403,0.297,5.80537839241921e-42
"ifc",5.38298984123653e-46,0.524060308888779,0.415,0.311,6.37722806491292e-42
"Hydr2",5.4938099195629e-46,0.315696669080808,0.431,0.326,6.50851661170617e-42
"loco",1.14900498397141e-45,0.237560518018249,0.439,0.329,1.36122620451093e-41
"lcs",1.25406931654458e-45,-5.47909154546669,0.001,0.022,1.48569591931036e-41
"Syx1A",1.45751096512329e-45,0.202243415951942,0.712,0.596,1.72671324038156e-41
"CG12025",1.80150745316245e-45,0.246051344583665,0.531,0.417,2.13424587976155e-41
"Cdc42",2.16001415291318e-45,0.26060231272971,0.644,0.531,2.55896876695624e-41
"robl",2.66971151198649e-45,0.229459907017853,0.515,0.399,3.1628072282504e-41
"CSN4",6.74788757673058e-45,0.341133437816157,0.323,0.229,7.99422241215272e-41
"CG9135",9.59797089020972e-45,0.266219379295771,0.436,0.331,1.13707161136315e-40
"Argk",1.18017525170591e-44,0.179993392946555,0.501,0.386,1.39815362069599e-40
"mahe",1.1971548713533e-44,0.185843322388436,0.672,0.555,1.41826937609226e-40
"mys",1.2070032423962e-44,0.386183306394299,0.756,0.662,1.42993674126678e-40
"Bacc",1.80080194259056e-44,0.209811520925693,0.961,0.933,2.13341006138703e-40
"bdg",1.93256251790008e-44,0.190463297405762,0.338,0.237,2.28950681495623e-40
"Ssb-c31a",1.95113930312968e-44,0.277325402216391,0.381,0.28,2.31151473241774e-40
"Pglym78",2.48155669376495e-44,0.249861353117374,0.611,0.498,2.93990021510334e-40
"mxt",2.8673836883844e-44,0.318859997095604,0.397,0.294,3.39698945562899e-40
"CG16700",3.590371908718e-44,1.04932223781035,0.147,0.086,4.25351360025821e-40
"CG14894",4.56490033004099e-44,0.262186651387838,0.317,0.224,5.40803742099957e-40
"Arf51F",4.67684415096051e-44,0.217122031682186,0.504,0.39,5.54065726564292e-40
"alpha-Est9",5.66765578989783e-44,0.482909241732388,0.297,0.211,6.71447181429196e-40
"rost",5.88487660157274e-44,0.273951303245621,0.527,0.433,6.97181330988322e-40
"Ilk",7.82019560928556e-44,0.299859419277421,0.394,0.294,9.2645857383206e-40
"CG4199",9.23116949485479e-44,0.299944337061131,0.326,0.23,1.09361665005545e-39
"Ras64B",9.99888986535377e-44,0.244670099241017,0.411,0.306,1.18456848234846e-39
"Csp",1.14427925266531e-43,0.252126269153499,0.473,0.365,1.3556276306326e-39
"Eb1",1.35432549530372e-43,0.226595663520348,0.771,0.693,1.60446941428632e-39
"CG6891",1.61310085404737e-43,0.32650963693278,0.748,0.675,1.91104058178992e-39
"betaTub56D",1.80837170917955e-43,0.20075028777924,0.942,0.906,2.14237796386502e-39
"Rsf1",1.85083740379749e-43,0.24500051504786,0.585,0.477,2.19268707227888e-39
"Arpc3A",2.28987457974395e-43,0.356108640426203,0.523,0.417,2.71281441462266e-39
"cno",2.46584187649535e-43,0.196634797235517,0.706,0.587,2.92128287108404e-39
